ID;DatenTypID;DatumZeitID;DatumID;MonatID;DatumTextkurz;DatumKurz;WochentagID;StundenID;Preis;PreisBrutto;PreisMin;PreisMax;PreisMean;PreisMinDauer;PreisMinWartezeit;PreisMinBrutto;PreisMaxBrutto;PreisMeanBrutto;SzenarioTag;SzenarioWoche
355612;0;2023010302;20230103;1;01. Mrz;103;2;2;0,12;0,35;0;0;0;0;0;0;0;0;;
355613;0;2023010303;20230103;1;01. Mrz;103;2;3;0,11;0,34;0;0;0;0;0;0;0;0;;
355614;0;2023010304;20230103;1;01. Mrz;103;2;4;0,12;0,35;0;0;0;0;0;0;0;0;;
355615;0;2023010305;20230103;1;01. Mrz;103;2;5;0,14;0,37;0;0;0;0;0;0;0;0;;
355616;0;2023010306;20230103;1;01. Mrz;103;2;6;0,16;0,39;0;0;0;0;0;0;0;0;;
355617;0;2023010307;20230103;1;01. Mrz;103;2;7;0,17;0,4;0;0;0;0;0;0;0;0;;
355618;0;2023010308;20230103;1;01. Mrz;103;2;8;0,17;0,4;0;0;0;0;0;0;0;0;;
355619;0;2023010309;20230103;1;01. Mrz;103;2;9;0,17;0,4;0;0;0;0;0;0;0;0;;
355620;0;2023010310;20230103;1;01. Mrz;103;2;10;0,17;0,4;0;0;0;0;0;0;0;0;;
355621;0;2023010311;20230103;1;01. Mrz;103;2;11;0,16;0,39;0;0;0;0;0;0;0;0;;
355622;0;2023010312;20230103;1;01. Mrz;103;2;12;0,16;0,39;0;0;0;0;0;0;0;0;;
355623;0;2023010313;20230103;1;01. Mrz;103;2;13;0,16;0,39;0;0;0;0;0;0;0;0;;
355624;0;2023010314;20230103;1;01. Mrz;103;2;14;0,17;0,4;0;0;0;0;0;0;0;0;;
355625;0;2023010315;20230103;1;01. Mrz;103;2;15;0,17;0,4;0;0;0;0;0;0;0;0;;
355626;0;2023010316;20230103;1;01. Mrz;103;2;16;0,17;0,4;0;0;0;0;0;0;0;0;;
355627;0;2023010317;20230103;1;01. Mrz;103;2;17;0,17;0,4;0;0;0;0;0;0;0;0;;
355628;0;2023010318;20230103;1;01. Mrz;103;2;18;0,16;0,39;0;0;0;0;0;0;0;0;;
355629;0;2023010319;20230103;1;01. Mrz;103;2;19;0,15;0,38;0;0;0;0;0;0;0;0;;
355630;0;2023010320;20230103;1;01. Mrz;103;2;20;0,13;0,36;0;0;0;0;0;0;0;0;;
355631;0;2023010321;20230103;1;01. Mrz;103;2;21;0,11;0,34;0;0;0;0;0;0;0;0;;
355632;0;2023010322;20230103;1;01. Mrz;103;2;22;0,09;0,32;0;0;0;0;0;0;0;0;;
355633;0;2023010323;20230103;1;01. Mrz;103;2;23;0,08;0,31;0;0;0;0;0;0;0;0;;
355634;0;2023010400;20230104;1;01. Apr;104;3;0;0,07;0,3;0;0;0;0;0;0;0;0;;
355635;0;2023010401;20230104;1;01. Apr;104;3;1;0,04;0,24;0;0;0;0;0;0;0;0;;
355636;0;2023010402;20230104;1;01. Apr;104;3;2;0,01;0,21;0;0;0;0;0;0;0;0;;
355637;0;2023010403;20230104;1;01. Apr;104;3;3;0;0,2;0;0;0;0;0;0;0;0;;
355638;0;2023010404;20230104;1;01. Apr;104;3;4;0,01;0,21;0;0;0;0;0;0;0;0;;
355639;0;2023010405;20230104;1;01. Apr;104;3;5;0,06;0,29;0;0;0;0;0;0;0;0;;
355640;0;2023010406;20230104;1;01. Apr;104;3;6;0,08;0,3;0;0;0;0;0;0;0;0;;
355641;0;2023010407;20230104;1;01. Apr;104;3;7;0,08;0,31;0;0;0;0;0;0;0;0;;
355642;0;2023010408;20230104;1;01. Apr;104;3;8;0,08;0,31;0;0;0;0;0;0;0;0;;
355643;0;2023010409;20230104;1;01. Apr;104;3;9;0,07;0,3;0;0;0;0;0;0;0;0;;
355644;0;2023010410;20230104;1;01. Apr;104;3;10;0,08;0,3;0;0;0;0;0;0;0;0;;
355645;0;2023010411;20230104;1;01. Apr;104;3;11;0,08;0,31;0;0;0;0;0;0;0;0;;
355646;0;2023010412;20230104;1;01. Apr;104;3;12;0,08;0,3;0;0;0;0;0;0;0;0;;
355647;0;2023010413;20230104;1;01. Apr;104;3;13;0,08;0,31;0;0;0;0;0;0;0;0;;
355648;0;2023010414;20230104;1;01. Apr;104;3;14;0,08;0,3;0;0;0;0;0;0;0;0;;
